ID,library_ID,Layer,Latitude(N),Longtitude(E),Altitude(m),AGB g/m2,BGB g/m2,SWC,DOC(mg/kg),DON(mg/kg),NH4-N(mg/kg),NO3-N(mg/kg),AP£¨mg/kg£©,pH,SOC(g/kg),TN(g/kg),TP(g/kg),C/N,MAP(mm),MAT(¡æ)
QZ43,43,topsoil,31.8582,86.0785,4686,37.64,46.76,0.14,177.57,428.05,9.88,12.3,3.83,8.68,12.58,1.64,0.32,7.69,255.59,-3.44
QZ44,44,subsoil,31.8582,86.0785,4686,37.64,19.49,0.19,240.59,560.04,11.45,9.63,3.05,8.7,11.8,1.28,0.34,9.25,255.59,-3.44
QZ45,1426,topsoil,31.5023,89.6574,4533,15.44,,0.12,238.4,524,12.3,10.96,2.5,8.8,7.63,0.82,0.16,9.31,390.88,-3.04
QZ46,894,subsoil,31.5023,89.6574,4533,15.44,,0.15,246.33,629.15,14.44,9.36,1.95,8.8,7.06,0.81,0.14,8.75,390.88,-3.04
QZ49,45,topsoil,31.8202,87.2202,4549,12.88,20.78,0.06,138.47,306.5,6.08,2.94,2.2,8.76,3.29,0.37,0.27,8.86,276.43,-3.09
QZ50,46,subsoil,31.8202,87.2202,4549,12.88,11.69,0.08,152.96,264.08,5.14,2.92,1.23,8.83,2.82,0.42,0.23,6.75,276.43,-3.09
QZ51,39,topsoil,31.8724,88.2517,4621,26.14,131.63,0.18,353.05,1198.26,20.76,15.49,5.19,8.55,14.5,2.24,0.39,6.47,332.69,-3
QZ52,40,subsoil,31.8724,88.2517,4621,26.14,54.56,0.26,396.82,1028.19,18,11.14,2.72,9.17,16.79,2.27,0.37,7.4,332.69,-3
QZ53,37,topsoil,31.52,89.7705,4445,22.88,68.41,0.06,158.46,258.8,4.88,4.67,4.24,8.53,4.46,0.46,0.07,9.8,390.88,-3.04
QZ54,38,subsoil,31.52,89.7705,4445,22.88,36.37,0.09,185.9,315.35,4.85,4.56,2.26,8.49,5.16,0.55,0.19,9.41,390.88,-3.04
QZ55,41,topsoil,31.4932,88.9517,4564,34.14,47.63,0.1,256.13,586.81,9.58,6.15,3.45,8.63,6.7,0.66,0.21,10.19,355.83,-0.61
QZ56,42,subsoil,31.4932,88.9517,4564,34.14,14.29,0.13,282.89,650.9,9.73,6.38,2.18,8.73,6.46,0.7,0.21,9.23,355.83,-0.61
QZ57,47,topsoil,32.0206,85.3903,4824,31.94,85.73,0.09,317.04,1015.54,13.19,12.55,6.17,8.72,12.27,1.58,0.36,7.77,318.8,-3.04
QZ58,48,subsoil,32.0206,85.3903,4824,31.94,50.66,0.16,308.55,835.32,12.15,8.52,3.06,8.75,14.49,2.1,0.38,6.89,318.8,-3.04
QZ59,292,topsoil,37.7237,100.5945,3457,251.63,502.97,0.48,763.4,21390.33,678.72,-2.35,17.53,6.46,94.46,4.58,0.85,20.61,612.07,4.79
QZ60,293,subsoil,37.7237,100.5945,3457,251.63,1008.2,0.28,265.26,1878.98,107.76,1.98,3.6,6.95,29.31,2.77,0.48,10.59,612.07,4.79
QZ61,294,topsoil,37.337,100.5294,3423,145.43,1626.52,0.23,1361.92,46482.22,889.31,-1.7,24.14,7.32,115.34,8.11,0.55,14.21,612.07,-0.16
QZ62,295,subsoil,37.337,100.5294,3423,145.43,577.62,0.28,554.17,7318.32,141.08,0.79,7.44,8.21,53.43,5.19,0.55,10.3,612.07,-0.16
QZ63,296,topsoil,37.2685,100.3126,3240,99.67,1697.53,0.04,201.03,1415.67,22.65,3.74,10.09,8.64,32.7,3.41,0.65,9.6,612.07,-2.18
QZ64,297,subsoil,37.2685,100.3126,3240,99.67,149.64,0.13,212.02,1260.12,16.82,7.69,4.81,9.16,27.04,2.88,0.65,9.38,612.07,-2.18
QZ65,298,topsoil,37.244,99.7471,3218,152.01,277.99,0.07,265.58,2513.35,26.05,1.97,9.15,8.56,49.91,4.3,0.68,11.6,380.63,-2.18
QZ66,299,subsoil,37.244,99.7471,3218,152.01,330.99,0.15,249.71,1882.47,20.07,5.84,5.53,8.66,34.2,3.79,0.56,9.02,380.63,-2.18
QZ67,300,topsoil,37.244,99.0964,3394,94.68,296.86,0.03,303.04,3234.77,22.98,2.35,14.4,8.21,47.25,4.4,0.59,10.73,339.63,-3.57
QZ68,301,subsoil,37.244,99.0964,3394,94.68,223.25,0.08,259.92,2169.27,23.67,3.01,6.13,8.4,36.05,3.56,0.58,10.13,339.63,-3.57
QZ69,302,topsoil,36.8562,98.936,3168,40.36,157.61,0.05,106.31,251.85,15.47,5.22,2.47,9.08,6.41,0.69,0.51,9.25,339.63,-3.57
QZ70,303,subsoil,36.8562,98.936,3168,40.36,100.98,0.01,110.97,334.85,21.81,5,10.77,8.88,11.97,1.09,0.72,11.01,339.63,-3.57
